event_id,customer_id,page,timestamp,action
E00001,C0813,Cart,2025-10-14 01:54:35,view
E00002,C0863,Home,2025-02-11 21:31:03,add_to_cart
E00003,C0257,Home,2025-07-20 06:58:31,add_to_cart
E00004,C0220,Product,2024-11-26 22:26:56,click
E00005,C0746,Product,,click
E00006,C0450,Checkout,2025-01-12 10:03:13,click
E00007,C0501,,2024-12-24 04:25:37,
,C0553,Product,2025-01-17 08:40:14,view
E00009,C0029,Checkout,2025-06-22 13:53:00,add_to_cart
E00010,C0029,Cart,2025-10-08 21:55:35,purchase
E00011,C0520,Cart,2025-07-18 04:52:56,view
E00012,C0162,Home,2025-01-28 23:34:03,purchase
E00013,C0314,Product,2025-01-13 17:43:43,click
E00014,C0520,Search,2025-07-02 01:14:25,purchase
E00015,C0256,Home,2025-07-04 13:44:26,click
E00016,C0833,Cart,2024-12-21 08:18:39,add_to_cart
E00017,C0225,Home,2025-04-20 21:36:16,click
E00018,,Product,,view
E00019,C0528,Home,2024-12-25 10:40:57,view
,C0240,Product,2025-05-20 10:48:05,view
E00021,C0906,Search,2025-06-19 00:37:28,add_to_cart
E00022,C0282,Search,2025-06-14 15:07:35,purchase
E00023,C0870,Checkout,2025-10-11 15:53:13,click
E00024,C0682,Product,2025-07-17 21:32:33,click
E00025,C0867,Product,2025-02-08 02:03:44,add_to_cart
E00026,C0796,Product,2024-12-01 14:03:29,add_to_cart
E00027,,Home,,click
E00028,C0210,Product,2025-10-07 20:12:21,click
E00029,C0472,Checkout,2025-07-14 23:57:28,
E00030,C0010,Home,2025-11-03 14:13:15,click
,C0656,Home,2025-09-12 09:08:37,add_to_cart
E00032,C0010,Search,2025-11-06 18:20:10,click
E00033,C0265,Home,2025-08-07 16:23:15,
E00034,C0551,Search,2024-11-20 05:11:51,add_to_cart
E00035,C0350,Checkout,2025-04-18 21:46:58,view
E00036,C0979,Product,2025-07-01 00:22:43,add_to_cart
E00037,C0499,Checkout,2025-10-31 02:03:18,
E00038,C0191,Search,,purchase
E00039,C0398,Product,2025-07-14 01:00:27,
,C0748,Cart,2025-04-05 01:51:24,click
,C0916,Home,2025-04-13 15:08:51,add_to_cart
E00042,C0716,Search,2025-08-12 18:28:21,purchase
E00043,C0093,Product,2025-03-09 06:37:57,purchase
E00044,C0909,Cart,2025-07-09 08:34:20,view
