order_id,customer_id,order_date,amount,channel
O00001,,2025-02-24,2627.0,Online
O00002,C0079,2025-05-15,,
O00003,C0323,2025-04-02,1247.0,Store
O00004,C0594,2025-08-31,2893.0,Store
O00005,C0686,2025-01-16,2990.0,Online
O00006,C0256,2025-11-13,3696.0,Online
O00007,C0365,2025-07-31,4547.0,Online
,C0108,2025-01-12,4167.0,Online
O00009,C0772,2025-03-01,2123.0,
,C0467,2025-08-12,3521.0,Online
O00011,C0104,2025-07-10,679.0,Store
O00012,C0713,2025-01-24,4970.0,Online
O00013,C0401,2025-01-18,406.0,Online
O00014,C0048,2025-02-20,2758.0,Online
O00015,C0425,,3833.0,Online
O00016,C0965,2025-11-08,3979.0,Store
O00017,C0827,2025-08-03,3633.0,Store
O00018,C0230,2025-04-01,3624.0,Online
O00019,C0794,2025-05-16,3935.0,Store
O00020,C0406,2025-07-06,4592.0,Online
O00021,C0662,2025-01-08,2765.0,Online
O00022,C0366,2025-01-09,364.0,Store
O00023,C0979,2025-06-22,1220.0,Store
O00024,C0621,2025-04-01,841.0,Store
O00025,C0836,2025-05-19,4889.0,Online
O00026,C0496,2025-02-27,3368.0,Online
O00027,C0872,2025-11-02,3748.0,Online
O00028,C0295,2025-01-05,1043.0,Online
O00029,C0178,2025-01-11,1846.0,Store
O00030,C0863,2025-10-28,287.0,Store
O00031,C0489,2025-01-24,3423.0,Online
O00032,C0164,2025-10-03,807.0,Online
O00033,C0495,,902.0,Online
O00034,C0870,2025-01-02,4054.0,Store
O00035,C0919,2025-03-20,1639.0,Online
O00036,C0452,2025-09-10,1812.0,Online
O00037,C0277,,3587.0,Store
O00038,C0432,2025-07-02,4985.0,Online
O00039,C0300,2025-01-05,1291.0,Store
O00040,C0866,2025-02-16,2252.0,
O00041,C0227,2025-08-19,1535.0,Online
O00042,C0947,2025-05-26,3135.0,Store
O00043,C0206,,2334.0,Online
O00044,C0019,2025-10-27,1936.0,
O00045,C0583,,914.0,Online
,C0411,2025-09-04,2782.0,Store
O00047,C0954,2025-10-17,428.0,Online
O00048,C0596,2025-07-07,658.0,Store
O00049,C0504,2025-08-18,2927.0,Online
O00050,C0549,2025-08-06,1979.0,Online
O00051,C0786,2025-01-11,3255.0,Store
O00052,C0632,2025-09-25,2452.0,Online
O00053,C0358,2024-11-26,2505.0,Store
O00054,C0401,2025-08-16,3342.0,Online
O00055,C0912,2025-08-13,4635.0,Store
O00056,C0541,2025-08-08,113.0,Store
O00057,C0942,2025-03-22,4512.0,Store
O00058,C0373,2025-02-12,968.0,Store
O00059,C0204,2025-07-18,2653.0,Store
O00060,C0645,2025-05-21,4870.0,Store
O00061,C0043,2025-07-08,1661.0,Store
O00062,C0386,2024-12-26,2278.0,Store
,C0913,2025-07-09,3396.0,Store
O00064,C0173,,3102.0,Online
O00065,C0283,2025-02-04,1230.0,
O00066,C0482,2025-07-25,3165.0,
O00067,C0752,2024-12-21,4276.0,Store
O00068,C0394,,2217.0,Store
O00069,C0719,2025-01-30,445.0,Store
O00070,C0804,2024-11-18,3847.0,Online
,C0395,2025-06-12,4830.0,Online
,C0429,2024-11-24,1163.0,Online
O00073,C0064,2025-02-25,4889.0,Online
O00074,C0477,2025-10-18,1175.0,Online
O00075,C0617,2025-11-14,1157.0,Store
,C0768,2025-08-17,3167.0,Online
O00077,C0175,2025-05-30,3025.0,Online
O00078,C0384,2024-12-02,793.0,Store
O00079,C0560,2025-06-08,1758.0,Online
O00080,C0620,2025-07-09,1925.0,Online
O00081,C0254,2025-02-03,1951.0,
O00082,C0148,2025-04-04,2005.0,Online
O00083,C0060,2025-04-12,,
O00084,C0540,2025-01-21,,Online
O00085,C0772,2025-09-29,4801.0,Online
O00086,C0271,2025-01-16,3817.0,Store
,C0948,2025-04-15,510.0,Store
O00088,,2025-05-10,1871.0,Store
O00089,C0552,2024-11-27,2221.0,
O00090,C0507,2025-04-06,3912.0,Store
O00091,C0576,2025-03-26,2242.0,Online
,C0118,2025-01-01,2403.0,Online
O00093,C0285,2025-06-25,3386.0,Online
O00094,C0001,2025-08-10,1726.0,Online
O00095,C0957,2025-06-29,3198.0,Store
,C0492,2025-10-08,4008.0,Online
O00097,C0647,2025-07-13,1588.0,Online
O00098,C0482,2025-08-29,,Store
O00099,C0053,2025-09-15,767.0,Online
O00100,C0368,2025-08-14,4086.0,Store
O00101,C0362,2024-12-09,2448.0,Store
O00102,C0975,2025-09-17,1598.0,Online
O00103,C0987,,2999.0,Online
O00104,C0389,2025-07-04,832.0,Online
O00105,C0746,2025-01-16,,Online
,C0776,2025-09-24,2559.0,Online
O00107,C0638,2025-09-25,1004.0,
O00108,C0689,2025-08-23,973.0,Store
O00109,C0957,2025-02-20,,Online
O00110,C0061,2025-04-13,2108.0,Online
O00111,C0079,2025-07-07,2863.0,Store
