ticket_id,customer_id,category,status,created_date
T00001,C0676,Product,,2025-11-17
T00002,C0565,Product,Pending,2025-11-17
T00003,C0709,Product,Open,2025-11-17
T00004,C0345,Payment,Open,2025-11-17
T00005,C0264,,Open,2025-11-17
T00006,C0590,Product,Open,2025-11-17
T00007,C0234,Delivery,Pending,2025-11-17
T00008,C0292,Account,Open,2025-11-17
T00009,C0074,Account,Closed,2025-11-17
T00010,C0910,Account,Pending,
T00011,C0603,Payment,Closed,2025-11-17
T00012,,Product,Closed,
T00013,C0712,Delivery,Closed,2025-11-17
T00014,C0658,Delivery,Closed,2025-11-17
T00015,C0163,Product,Closed,2025-11-17
T00016,C0500,Product,Closed,2025-11-17
T00017,C0166,Payment,Open,2025-11-17
T00018,C0071,Account,Open,2025-11-17
T00019,C0456,Delivery,Closed,2025-11-17
T00020,C0756,Account,,2025-11-17
T00021,C0153,,,2025-11-17
T00022,C0137,Account,Pending,2025-11-17
T00023,C0384,Payment,Pending,2025-11-17
T00024,C0965,Account,Closed,2025-11-17
T00025,C0207,Delivery,Open,2025-11-17
T00026,C0159,Payment,Open,2025-11-17
T00027,C0407,Account,Open,2025-11-17
T00028,C0630,Product,Pending,2025-11-17
T00029,,Delivery,Closed,2025-11-17
T00030,C0469,Delivery,Pending,2025-11-17
T00031,C0205,Account,,2025-11-17
T00032,C0709,Account,Open,2025-11-17
T00033,C0446,Payment,Pending,2025-11-17
T00034,C0573,Delivery,Closed,2025-11-17
T00035,C0513,Account,Closed,2025-11-17
,C0101,Product,,2025-11-17
T00037,C0598,Account,Pending,2025-11-17
T00038,C0361,Account,Closed,
T00039,C0963,Account,Pending,2025-11-17
T00040,C0626,Delivery,Pending,2025-11-17
T00041,C0136,Delivery,Open,2025-11-17
T00042,C0746,Product,Pending,2025-11-17
,C0806,Payment,Pending,2025-11-17
T00044,C0139,Product,Closed,2025-11-17
T00045,,Account,Pending,2025-11-17
T00046,C0312,Delivery,Open,
T00047,C0428,Payment,Closed,2025-11-17
T00048,,,Open,2025-11-17
T00049,C0826,Product,Closed,2025-11-17
T00050,C0114,Delivery,Open,2025-11-17
T00051,C0551,,Open,2025-11-17
T00052,C0161,Account,Pending,2025-11-17
T00053,C0513,Product,Pending,2025-11-17
T00054,C0520,Account,Pending,2025-11-17
T00055,C0600,Delivery,,
T00056,,Payment,Open,2025-11-17
T00057,C0187,Product,Pending,2025-11-17
T00058,C0372,Product,Pending,2025-11-17
T00059,C0577,Payment,Pending,2025-11-17
,C0671,Account,Pending,2025-11-17
T00061,,Account,Pending,2025-11-17
T00062,C0966,Payment,Open,2025-11-17
T00063,C0404,Product,Closed,2025-11-17
T00064,C0373,,Closed,2025-11-17
T00065,C0077,Payment,Pending,2025-11-17
T00066,C0915,Payment,Open,2025-11-17
T00067,C0470,Payment,Closed,2025-11-17
T00068,C0755,Account,Closed,2025-11-17
T00069,C0137,Product,Open,
T00070,C0317,Delivery,Closed,2025-11-17
T00071,C0105,Payment,Open,2025-11-17
T00072,,,Pending,2025-11-17
T00073,C0577,Account,Open,2025-11-17
T00074,C0386,Product,Pending,
T00075,C0083,,Open,2025-11-17
T00076,C0991,,Pending,2025-11-17
T00077,C0076,Delivery,Closed,2025-11-17
T00078,C0798,Product,Closed,2025-11-17
T00079,C0706,Account,Pending,2025-11-17
T00080,C0414,Delivery,Pending,2025-11-17
T00081,C0617,Delivery,Closed,2025-11-17
T00082,C0542,Product,Open,2025-11-17
T00083,C0467,Delivery,,2025-11-17
T00084,C0933,Product,Pending,2025-11-17
T00085,C0567,Payment,Closed,2025-11-17
T00086,C0306,Delivery,Closed,2025-11-17
T00087,C0237,Payment,Closed,2025-11-17
T00088,C0539,Account,Open,2025-11-17
T00089,C0789,Product,Pending,2025-11-17
T00090,C0620,Account,Pending,
T00091,C0322,Account,Pending,2025-11-17
T00092,C0710,Account,Closed,2025-11-17
T00093,C0920,Delivery,Pending,2025-11-17
T00094,C0659,Product,,2025-11-17
T00095,C0629,Account,Closed,2025-11-17
T00096,C0173,Account,Open,2025-11-17
T00097,C0594,Product,Open,2025-11-17
T00098,C0538,Payment,Open,2025-11-17
T00099,,Payment,Open,2025-11-17
T00100,C0427,Product,Closed,2025-11-17
T00101,C0398,Delivery,Pending,2025-11-17
T00102,C0435,Account,,2025-11-17
T00103,C0484,Payment,Open,2025-11-17
T00104,C0589,Product,Open,2025-11-17
,C0613,Delivery,Pending,2025-11-17
T00106,C0462,Payment,Pending,
T00107,C0354,Delivery,Closed,2025-11-17
T00108,C0339,Payment,Pending,
T00109,C0325,Account,Pending,2025-11-17
T00110,,,Closed,2025-11-17
T00111,C0417,Account,Open,2025-11-17
T00112,C0351,Payment,Closed,2025-11-17
T00113,C0223,Product,Pending,2025-11-17
T00114,C0995,Payment,Closed,2025-11-17
T00115,C0740,Delivery,Pending,2025-11-17
,C0498,Product,Pending,2025-11-17
T00117,C0437,Account,Pending,2025-11-17
T00118,C0914,Account,Closed,2025-11-17
T00119,C0088,Delivery,Closed,2025-11-17
T00120,C0176,Delivery,,2025-11-17
,C0118,Product,Pending,2025-11-17
T00122,C0515,Delivery,Open,2025-11-17
,C0149,,Closed,
T00124,,Delivery,Open,2025-11-17
T00125,C0209,Product,Pending,2025-11-17
T00126,C0177,,Open,2025-11-17
T00127,C0581,Product,Open,2025-11-17
T00128,C0921,Account,Open,2025-11-17
T00129,C0354,Delivery,Closed,2025-11-17
T00130,C0895,,Closed,2025-11-17
T00131,C0469,Product,Open,2025-11-17
T00132,C0153,Account,Pending,2025-11-17
T00133,C0997,Product,Pending,2025-11-17
T00134,C0193,Product,Open,
T00135,C0351,Account,Closed,2025-11-17
T00136,C0932,Payment,Pending,2025-11-17
,C0027,Delivery,Closed,2025-11-17
T00138,C0451,,Open,2025-11-17
T00139,C0158,Delivery,Closed,2025-11-17
T00140,,Delivery,Pending,2025-11-17
T00141,C0766,,Open,2025-11-17
T00142,C0031,Delivery,Open,2025-11-17
T00143,C0089,Account,,2025-11-17
T00144,C0732,,Open,2025-11-17
T00145,C0179,Product,Open,2025-11-17
T00146,C0802,Payment,Closed,2025-11-17
T00147,C0279,Account,Closed,
T00148,C0854,Account,Open,
T00149,C0289,Product,Closed,2025-11-17
T00150,C0141,Product,,2025-11-17
T00151,C0063,Account,Open,2025-11-17
T00152,C0067,Payment,Open,2025-11-17
,C0974,Delivery,Closed,2025-11-17
T00154,,Product,,2025-11-17
T00155,C0156,Account,Closed,2025-11-17
T00156,C0284,Product,Open,2025-11-17
T00157,C0974,Product,Pending,2025-11-17
T00158,C0438,Product,Closed,
T00159,C0790,Account,Open,2025-11-17
T00160,C0683,Payment,Closed,2025-11-17
T00161,C0390,Delivery,Open,2025-11-17
T00162,C0696,Account,Closed,2025-11-17
T00163,C0585,Account,Pending,2025-11-17
T00164,C0640,Product,Closed,2025-11-17
T00165,C0217,Delivery,,2025-11-17
T00166,C0215,Delivery,Pending,2025-11-17
T00167,C0072,Account,Pending,2025-11-17
T00168,C0687,Account,Open,2025-11-17
,C0090,,Pending,2025-11-17
T00170,C0417,Payment,Closed,2025-11-17
T00171,C0809,Delivery,Open,2025-11-17
T00172,C0053,Delivery,Open,2025-11-17
T00173,C0696,Delivery,Pending,2025-11-17
T00174,C0150,Account,Open,2025-11-17
T00175,C0760,Product,Pending,
T00176,C0426,Account,Pending,2025-11-17
T00177,,,Open,2025-11-17
T00178,,Delivery,,2025-11-17
,C0381,Product,Pending,2025-11-17
T00180,C0643,Product,Open,2025-11-17
T00181,C0089,,Open,2025-11-17
T00182,C0878,Payment,Closed,2025-11-17
T00183,,,Pending,2025-11-17
T00184,C0767,Account,,
T00185,C0080,Account,Closed,2025-11-17
,C0075,Payment,Open,2025-11-17
T00187,C0539,Payment,Pending,2025-11-17
T00188,C0348,Delivery,Pending,2025-11-17
T00189,C0500,,Closed,2025-11-17
T00190,C0219,Account,Pending,2025-11-17
T00191,C0603,Product,Pending,2025-11-17
T00192,C0263,Payment,Closed,2025-11-17
T00193,C0427,Payment,Closed,2025-11-17
T00194,C0259,Account,Open,2025-11-17
T00195,C0917,Product,Closed,2025-11-17
T00196,,Delivery,Pending,2025-11-17
T00197,C0993,Delivery,Closed,2025-11-17
T00198,C0580,,,
T00199,C0080,Product,Open,2025-11-17
T00200,C0911,Account,Pending,2025-11-17
T00201,C0555,Delivery,Open,2025-11-17
T00202,C0756,Account,Pending,2025-11-17
T00203,C0658,Product,Open,2025-11-17
T00204,C0837,Delivery,Pending,2025-11-17
T00205,C0930,Product,Closed,
T00206,C0066,,Pending,2025-11-17
T00207,C0825,Payment,Open,2025-11-17
T00208,C0723,Payment,Pending,2025-11-17
T00209,,Payment,Pending,2025-11-17
T00210,C0234,Payment,Open,2025-11-17
T00211,C0148,Account,Open,
T00212,C0047,Delivery,Pending,2025-11-17
T00213,C0140,Product,Pending,2025-11-17
T00214,C0389,Delivery,Closed,2025-11-17
T00215,C0281,Delivery,Open,2025-11-17
T00216,C0708,Product,Pending,2025-11-17
T00217,C0476,Product,Pending,2025-11-17
T00218,C0471,Account,Closed,2025-11-17
T00219,C0072,Delivery,Closed,2025-11-17
T00220,C0955,Delivery,Pending,2025-11-17
T00221,C0397,Delivery,Closed,2025-11-17
T00222,C0381,Product,Closed,2025-11-17
T00223,C0221,Delivery,Open,2025-11-17
T00224,C0974,Account,Closed,2025-11-17
T00225,C0294,Product,Open,
T00226,C0180,Payment,Closed,2025-11-17
T00227,C0602,Payment,Pending,2025-11-17
,C0136,Product,Closed,2025-11-17
T00229,C0495,Account,Open,2025-11-17
T00230,C0994,Product,Open,2025-11-17
T00231,C0191,Product,Pending,2025-11-17
T00232,C0941,Account,Closed,2025-11-17
T00233,C0211,Delivery,Open,2025-11-17
T00234,C0850,Delivery,Closed,2025-11-17
T00235,C0902,Payment,,2025-11-17
T00236,C0496,,Closed,2025-11-17
T00237,C0410,Product,Closed,2025-11-17
T00238,C0524,Delivery,Pending,2025-11-17
T00239,C0391,Account,Pending,2025-11-17
T00240,C0781,Account,Pending,2025-11-17
T00241,C0884,,Pending,2025-11-17
T00242,C0100,Product,Open,2025-11-17
T00243,C0190,Payment,Closed,2025-11-17
T00244,C0819,Delivery,Open,2025-11-17
T00245,C0273,Account,Closed,2025-11-17
T00246,C0645,Account,Pending,2025-11-17
T00247,C0294,Product,Closed,2025-11-17
T00248,,Payment,Pending,2025-11-17
T00249,C0142,Product,Pending,2025-11-17
T00250,C0010,Product,,2025-11-17
T00251,C0057,Delivery,Closed,2025-11-17
T00252,C0726,Delivery,Pending,2025-11-17
T00253,C0461,Delivery,Open,2025-11-17
T00254,C0213,Product,Pending,2025-11-17
T00255,C0602,Delivery,Open,2025-11-17
T00256,C0662,Delivery,Open,2025-11-17
T00257,C0888,Payment,Closed,2025-11-17
T00258,C0526,Product,Closed,2025-11-17
T00259,C0184,Delivery,Pending,2025-11-17
T00260,C0576,Payment,Open,2025-11-17
T00261,C0337,Account,Pending,2025-11-17
T00262,C0774,Account,Open,2025-11-17
T00263,C0830,Product,Pending,
T00264,C0867,Payment,Closed,2025-11-17
T00265,C0565,Payment,Pending,2025-11-17
T00266,C0593,Payment,Pending,2025-11-17
T00267,C0933,Product,Open,2025-11-17
,C0417,Account,Closed,2025-11-17
T00269,C0564,,Closed,2025-11-17
T00270,C0687,Payment,Open,2025-11-17
T00271,C0185,Product,Closed,2025-11-17
T00272,C0878,Delivery,Pending,2025-11-17
T00273,,Payment,,2025-11-17
T00274,C0105,Delivery,Pending,2025-11-17
T00275,,Product,Closed,2025-11-17
T00276,C0108,Product,Closed,2025-11-17
T00277,C0946,Account,Closed,2025-11-17
T00278,C0278,Product,Open,
T00279,C0861,Delivery,Closed,2025-11-17
T00280,C0484,Account,Pending,2025-11-17
T00281,C0387,Payment,Pending,2025-11-17
T00282,C0091,Account,Pending,2025-11-17
T00283,C0506,,,2025-11-17
T00284,C0313,,Closed,2025-11-17
T00285,C0713,Delivery,Open,2025-11-17
,C0475,Account,Pending,2025-11-17
T00287,C0527,Product,Open,2025-11-17
T00288,C0389,Account,,2025-11-17
T00289,C0847,,Pending,2025-11-17
T00290,C0412,Payment,Pending,2025-11-17
T00291,C0605,Product,Pending,2025-11-17
T00292,C0803,Account,Pending,2025-11-17
T00293,C0119,Delivery,Closed,2025-11-17
T00294,C0526,Product,Closed,2025-11-17
T00295,C0967,Delivery,Closed,2025-11-17
,C0820,Product,Pending,2025-11-17
T00297,C0203,Account,Closed,2025-11-17
T00298,C0032,Delivery,Pending,2025-11-17
,C0753,Account,Open,2025-11-17
T00300,C0012,Payment,Closed,2025-11-17
T00301,,Payment,Pending,2025-11-17
T00302,C0815,Delivery,Open,2025-11-17
T00303,C0023,Account,Closed,2025-11-17
T00304,C0837,Product,Pending,2025-11-17
T00305,,,Open,2025-11-17
T00306,C0987,Product,Closed,2025-11-17
T00307,C0028,Account,Closed,2025-11-17
T00308,C0193,,Open,2025-11-17
,C0899,Account,Open,2025-11-17
T00310,C0527,Payment,Pending,2025-11-17
T00311,C0102,Delivery,Closed,2025-11-17
T00312,C0166,Delivery,Pending,2025-11-17
T00313,C0579,Account,Closed,2025-11-17
,C0192,Account,Closed,2025-11-17
T00315,C0972,Payment,Pending,2025-11-17
,C0840,Account,Closed,2025-11-17
,C0033,,Closed,2025-11-17
T00318,C0640,Delivery,Pending,2025-11-17
,C0561,Product,Closed,2025-11-17
T00320,C0768,Product,Open,2025-11-17
T00321,C0318,Payment,Pending,2025-11-17
T00322,C0696,Product,Open,2025-11-17
T00323,C0547,Account,Closed,2025-11-17
T00324,C0971,Product,Closed,2025-11-17
T00325,C0654,Delivery,Open,2025-11-17
T00326,C0259,Delivery,Open,2025-11-17
,C0942,Product,Open,2025-11-17
T00328,C0783,Product,Open,2025-11-17
T00329,C0874,Account,Pending,2025-11-17
T00330,C0944,Product,Closed,2025-11-17
,C0822,Product,Open,2025-11-17
T00332,C0305,Delivery,Open,
T00333,C0161,Delivery,Closed,2025-11-17
T00334,C0198,Product,Closed,2025-11-17
T00335,C0834,Payment,Open,2025-11-17
T00336,C0761,Account,Closed,2025-11-17
T00337,C0560,Payment,Pending,2025-11-17
T00338,C0469,Product,Pending,
T00339,C0457,Product,Open,2025-11-17
T00340,C0603,Payment,Pending,2025-11-17
T00341,C0625,Account,Pending,2025-11-17
T00342,,Product,Open,2025-11-17
T00343,C0386,,Pending,2025-11-17
,C0950,Payment,Pending,
T00345,C0763,Product,Open,2025-11-17
T00346,C0231,Delivery,,2025-11-17
T00347,C0941,Delivery,Closed,2025-11-17
T00348,,Account,Pending,2025-11-17
T00349,,Account,Open,2025-11-17
T00350,C0689,,Open,2025-11-17
T00351,C0458,Delivery,Closed,
T00352,C0253,Delivery,Closed,2025-11-17
T00353,C0903,Payment,Closed,2025-11-17
T00354,C0602,Account,Pending,2025-11-17
T00355,C0928,Delivery,Closed,2025-11-17
T00356,C0040,Delivery,Closed,2025-11-17
T00357,,Delivery,Closed,2025-11-17
T00358,C0555,Product,,2025-11-17
T00359,C0190,Payment,Pending,2025-11-17
T00360,C0862,Product,Closed,2025-11-17
T00361,C0999,Payment,Pending,2025-11-17
T00362,C0088,Payment,Closed,2025-11-17
T00363,,Payment,Pending,2025-11-17
T00364,C0484,Payment,Open,2025-11-17
T00365,C0355,Delivery,Open,2025-11-17
T00366,C0727,Payment,Pending,2025-11-17
T00367,C0464,Product,,2025-11-17
T00368,C0227,Account,Open,2025-11-17
T00369,C0733,Account,Closed,2025-11-17
T00370,C0520,Account,Open,2025-11-17
T00371,,Account,Pending,2025-11-17
T00372,C0706,Account,Open,
T00373,C0005,Payment,Open,2025-11-17
T00374,C0488,Delivery,Closed,2025-11-17
T00375,C0186,Account,Closed,2025-11-17
T00376,C0298,Payment,Closed,2025-11-17
T00377,C0172,Delivery,Open,2025-11-17
T00378,C0770,Delivery,Open,2025-11-17
T00379,C0433,Payment,Pending,2025-11-17
T00380,C0838,Product,Closed,2025-11-17
T00381,C0959,Account,Pending,2025-11-17
